epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.963,1.20418,2.64662,0.02036,0.62446,0.54948,0.5281,0.31251,1.3422,1.47457,0.0327,0.000665791,0.000665791,0.000665791
2,209.863,1.4193,1.68063,0.0248,0.76781,0.57031,0.65635,0.38236,1.44084,1.47302,0.03522,0.00132366,0.00132366,0.00132366
3,301.615,1.4418,1.63255,0.02574,0.80303,0.52604,0.64624,0.38508,1.38005,1.38156,0.03307,0.00197274,0.00197274,0.00197274
4,399.432,1.46946,1.63639,0.02571,0.76583,0.5651,0.65596,0.371,1.54989,1.3868,0.03948,0.0019604,0.0019604,0.0019604
5,493.07,1.41833,1.49981,0.02445,0.69057,0.61458,0.64878,0.35279,1.48249,1.38199,0.0376,0.0019472,0.0019472,0.0019472
6,586.61,1.39666,1.5075,0.02462,0.68572,0.6364,0.68303,0.40184,1.39525,1.31053,0.03379,0.001934,0.001934,0.001934
7,682.238,1.39658,1.49062,0.02492,0.76247,0.60417,0.68924,0.41568,1.38437,1.27108,0.03381,0.0019208,0.0019208,0.0019208
8,784.246,1.39858,1.41529,0.02458,0.739,0.6415,0.72134,0.44226,1.34005,1.1931,0.03194,0.0019076,0.0019076,0.0019076
9,886.799,1.36757,1.37567,0.02362,0.78048,0.6276,0.72158,0.45043,1.32179,1.1904,0.03058,0.0018944,0.0018944,0.0018944
10,984.429,1.36337,1.31284,0.02386,0.74544,0.66927,0.72154,0.44143,1.403,1.17756,0.03447,0.0018812,0.0018812,0.0018812
11,1078.73,1.36297,1.35452,0.02416,0.75083,0.66702,0.73693,0.45752,1.32308,1.17082,0.03143,0.001868,0.001868,0.001868
12,1173.2,1.33644,1.31434,0.02337,0.79648,0.68282,0.72383,0.45259,1.2906,1.15725,0.02998,0.0018548,0.0018548,0.0018548
13,1266.92,1.33301,1.33072,0.0232,0.75326,0.6849,0.71927,0.44202,1.35509,1.16045,0.03277,0.0018416,0.0018416,0.0018416
14,1361.66,1.32789,1.29637,0.02261,0.81076,0.63593,0.71189,0.44694,1.34071,1.19018,0.0314,0.0018284,0.0018284,0.0018284
15,1470.08,1.33951,1.26381,0.02247,0.77897,0.70052,0.75029,0.47117,1.32201,1.10607,0.03061,0.0018152,0.0018152,0.0018152
16,1642.88,1.32485,1.26267,0.02249,0.81119,0.69368,0.77334,0.48802,1.30062,1.03229,0.03066,0.001802,0.001802,0.001802
17,1816.33,1.2816,1.19434,0.02187,0.78307,0.69563,0.75158,0.47049,1.31994,1.0951,0.0309,0.0017888,0.0017888,0.0017888
18,1989.16,1.273,1.17781,0.02135,0.7868,0.71119,0.76861,0.4934,1.26309,1.04709,0.02894,0.0017756,0.0017756,0.0017756
19,2160.94,1.30053,1.21426,0.02199,0.77277,0.6849,0.75664,0.48963,1.27668,1.05845,0.03043,0.0017624,0.0017624,0.0017624
20,2306.04,1.28988,1.16125,0.0215,0.7291,0.70833,0.75033,0.4908,1.26199,1.10629,0.02933,0.0017492,0.0017492,0.0017492
21,2396.31,1.25293,1.16791,0.0206,0.81815,0.67448,0.75471,0.48282,1.26358,1.10836,0.02891,0.001736,0.001736,0.001736
22,2488.84,1.28676,1.19535,0.02156,0.81284,0.71252,0.76922,0.5,1.26656,1.04252,0.02886,0.0017228,0.0017228,0.0017228
23,2582.52,1.27918,1.17981,0.02118,0.83074,0.71577,0.79507,0.51028,1.27106,0.9663,0.02945,0.0017096,0.0017096,0.0017096
24,2677.89,1.2877,1.1712,0.02199,0.77309,0.70833,0.74682,0.47452,1.30825,1.06134,0.0307,0.0016964,0.0016964,0.0016964
25,2858.5,1.26714,1.1242,0.02179,0.85285,0.70052,0.77383,0.50754,1.20861,1.00525,0.02687,0.0016832,0.0016832,0.0016832
26,3036.88,1.2554,1.11231,0.02066,0.83007,0.68693,0.76342,0.49678,1.23937,1.08796,0.02834,0.00167,0.00167,0.00167
27,3196.79,1.23,1.12301,0.02027,0.80623,0.70431,0.79158,0.51834,1.25666,0.98641,0.02849,0.0016568,0.0016568,0.0016568
28,3283.17,1.26179,1.10147,0.02113,0.84842,0.67708,0.78683,0.52854,1.23182,1.00024,0.0285,0.0016436,0.0016436,0.0016436
29,3368.2,1.20789,1.07736,0.02014,0.79533,0.69826,0.78167,0.51351,1.20647,1.02855,0.02721,0.0016304,0.0016304,0.0016304
30,3453.98,1.21821,1.09703,0.02049,0.84537,0.67448,0.75855,0.49487,1.2422,1.03201,0.02876,0.0016172,0.0016172,0.0016172
31,3541.63,1.21829,1.08313,0.01985,0.74506,0.66927,0.70866,0.46126,1.20657,1.10406,0.02764,0.001604,0.001604,0.001604
32,3631.14,1.21377,1.10723,0.02005,0.79804,0.72031,0.77741,0.50358,1.22593,1.02453,0.0278,0.0015908,0.0015908,0.0015908
33,3718.82,1.19981,1.05375,0.01938,0.77171,0.71875,0.76455,0.49711,1.25434,1.0452,0.02877,0.0015776,0.0015776,0.0015776
34,3805.06,1.19609,1.04298,0.01955,0.81651,0.73438,0.79801,0.53179,1.20683,0.9157,0.02701,0.0015644,0.0015644,0.0015644
35,3891.43,1.20647,1.06935,0.02029,0.80759,0.74325,0.79499,0.52283,1.2399,0.98039,0.02861,0.0015512,0.0015512,0.0015512
36,4021.23,1.18537,1.03972,0.01958,0.79583,0.70573,0.7876,0.52454,1.22368,0.99968,0.02816,0.001538,0.001538,0.001538
37,4106.73,1.17864,1.02017,0.01956,0.82227,0.71082,0.78596,0.52545,1.19305,0.94499,0.02622,0.0015248,0.0015248,0.0015248
38,4193.15,1.18434,1.00874,0.01943,0.7697,0.73981,0.78221,0.50532,1.18632,0.99601,0.02686,0.0015116,0.0015116,0.0015116
39,4281,1.18915,1.01929,0.01993,0.8116,0.74039,0.79355,0.51476,1.18477,1.0076,0.02634,0.0014984,0.0014984,0.0014984
40,4370.18,1.1896,1.02108,0.01979,0.86632,0.70882,0.77743,0.4964,1.23253,1.02711,0.02794,0.0014852,0.0014852,0.0014852
41,4459.14,1.17033,0.99379,0.01928,0.77955,0.74219,0.77335,0.48517,1.2355,1.0311,0.02727,0.001472,0.001472,0.001472
