epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.408,1.43596,1.35746,0.026,0.73626,0.63975,0.69548,0.35959,1.65217,1.28437,0.04256,0.000665791,0.000665791,0.000665791
2,516.605,1.6849,1.59258,0.03119,0.73633,0.53125,0.61673,0.33273,1.68292,1.5871,0.0424,0.00131361,0.00131361,0.00131361
3,745.264,1.67777,1.58153,0.03119,0.753,0.57954,0.66489,0.3404,1.74903,1.34378,0.0453,0.00194258,0.00194258,0.00194258
4,973.163,1.70796,1.61325,0.03184,0.65785,0.55578,0.57572,0.30501,1.70342,1.49095,0.04356,0.00191514,0.00191514,0.00191514
5,1202.41,1.61983,1.50342,0.02903,0.6478,0.63021,0.6493,0.37254,1.58605,1.32356,0.03954,0.00188686,0.00188686,0.00188686
6,1440.77,1.57005,1.43075,0.02839,0.77197,0.63281,0.71574,0.41738,1.516,1.21627,0.03763,0.00185857,0.00185857,0.00185857
7,1675.47,1.51716,1.39315,0.0274,0.65565,0.64459,0.69044,0.40979,1.51579,1.22573,0.03767,0.00183029,0.00183029,0.00183029
8,1902.92,1.52662,1.37306,0.02739,0.76862,0.625,0.71009,0.4207,1.48462,1.22054,0.03559,0.001802,0.001802,0.001802
9,2086.83,1.50669,1.30349,0.02637,0.72457,0.63802,0.70827,0.41903,1.46426,1.19175,0.03545,0.00177371,0.00177371,0.00177371
10,2260.02,1.45689,1.28427,0.02575,0.78862,0.64583,0.72664,0.44811,1.42467,1.20508,0.03473,0.00174543,0.00174543,0.00174543
11,2436.58,1.45371,1.29049,0.02592,0.76677,0.66406,0.74198,0.45005,1.40502,1.10153,0.03433,0.00171714,0.00171714,0.00171714
12,2604.82,1.43006,1.27215,0.0254,0.81827,0.64062,0.73917,0.44878,1.43745,1.08943,0.03491,0.00168886,0.00168886,0.00168886
13,2772.11,1.39831,1.25626,0.02442,0.75937,0.66146,0.73061,0.44114,1.46294,1.09083,0.03542,0.00166057,0.00166057,0.00166057
14,2939.1,1.40591,1.26508,0.02411,0.79226,0.63562,0.71977,0.4426,1.43132,1.15711,0.03497,0.00163229,0.00163229,0.00163229
15,3106.75,1.3968,1.23507,0.02406,0.78084,0.66667,0.72685,0.44477,1.38826,1.16595,0.03293,0.001604,0.001604,0.001604
16,3273.92,1.39082,1.18991,0.02422,0.84109,0.68919,0.79641,0.4948,1.36229,0.96885,0.03268,0.00157571,0.00157571,0.00157571
17,3441.32,1.3551,1.10567,0.02369,0.80395,0.70052,0.76766,0.44991,1.48873,1.02613,0.03784,0.00154743,0.00154743,0.00154743
18,3608.43,1.33665,1.14756,0.02288,0.81742,0.71354,0.78797,0.48602,1.39722,0.97025,0.03341,0.00151914,0.00151914,0.00151914
19,3775.27,1.34447,1.15447,0.02304,0.79068,0.70833,0.75872,0.48269,1.34913,1.05212,0.03121,0.00149086,0.00149086,0.00149086
20,3942.13,1.35472,1.11908,0.02284,0.83705,0.66888,0.79177,0.51134,1.31241,0.98914,0.03087,0.00146257,0.00146257,0.00146257
21,4109.39,1.31327,1.11226,0.02216,0.83418,0.66927,0.77509,0.50607,1.27151,0.95447,0.03056,0.00143429,0.00143429,0.00143429
22,4276.7,1.30162,1.07884,0.02166,0.81332,0.66146,0.76923,0.50851,1.28218,1.04192,0.02947,0.001406,0.001406,0.001406
23,4444.35,1.30481,1.08535,0.02165,0.81482,0.71875,0.79459,0.51047,1.29208,0.94716,0.03005,0.00137771,0.00137771,0.00137771
24,4612.12,1.30476,1.04906,0.02211,0.76193,0.76823,0.79823,0.50876,1.28064,0.9532,0.02942,0.00134943,0.00134943,0.00134943
25,4779.51,1.29072,1.04908,0.02255,0.81597,0.66969,0.76942,0.50791,1.26937,0.96573,0.02945,0.00132114,0.00132114,0.00132114
26,4946.98,1.27969,1.04608,0.02126,0.8296,0.69732,0.7764,0.50784,1.23903,0.97001,0.02864,0.00129286,0.00129286,0.00129286
27,5114.72,1.2409,1.04152,0.02064,0.77386,0.73698,0.78558,0.52818,1.23191,0.94591,0.02827,0.00126457,0.00126457,0.00126457
28,5282.25,1.25198,1.00001,0.02084,0.80506,0.7474,0.79467,0.52566,1.23125,0.9518,0.02811,0.00123629,0.00123629,0.00123629
29,5449.71,1.21141,0.97092,0.02025,0.78473,0.76893,0.79601,0.51454,1.23622,0.94219,0.02807,0.001208,0.001208,0.001208
30,5616.82,1.22901,0.98052,0.02068,0.77499,0.73698,0.79566,0.50802,1.29269,0.97623,0.02981,0.00117971,0.00117971,0.00117971
31,5784.58,1.21467,0.97814,0.01971,0.83348,0.72993,0.8013,0.52527,1.22673,0.8842,0.02779,0.00115143,0.00115143,0.00115143
32,5952.07,1.22081,0.97258,0.02051,0.82201,0.74219,0.82089,0.52964,1.25224,0.88423,0.02873,0.00112314,0.00112314,0.00112314
33,6119.69,1.19412,0.94016,0.01949,0.82532,0.73827,0.81504,0.53909,1.23734,0.8775,0.0286,0.00109486,0.00109486,0.00109486
34,6287.12,1.19172,0.93724,0.01954,0.82801,0.7526,0.82289,0.53885,1.18025,0.86775,0.02637,0.00106657,0.00106657,0.00106657
35,6454.9,1.18654,0.92981,0.01972,0.85052,0.69271,0.81536,0.54039,1.23121,0.91271,0.02834,0.00103829,0.00103829,0.00103829
36,6622.28,1.17391,0.92224,0.01952,0.8233,0.74479,0.81638,0.53807,1.23968,0.89555,0.02831,0.00101,0.00101,0.00101
37,6789.97,1.14835,0.89653,0.019,0.81836,0.75091,0.82186,0.54411,1.20015,0.88444,0.02658,0.000981714,0.000981714,0.000981714
38,6957.65,1.14177,0.88835,0.01854,0.77181,0.77511,0.81104,0.53485,1.17777,0.91776,0.02603,0.000953429,0.000953429,0.000953429
39,7124.76,1.144,0.87879,0.01891,0.79131,0.75781,0.81134,0.54759,1.16907,0.93309,0.02573,0.000925143,0.000925143,0.000925143
40,7292.24,1.12263,0.89307,0.01841,0.77965,0.75557,0.79799,0.52854,1.18733,0.93143,0.02633,0.000896857,0.000896857,0.000896857
41,7459.8,1.12693,0.85572,0.01862,0.84639,0.7474,0.79734,0.52472,1.20564,0.89841,0.02685,0.000868571,0.000868571,0.000868571
42,7627.48,1.13851,0.84995,0.01873,0.80006,0.73988,0.80205,0.5416,1.18466,0.92147,0.02699,0.000840286,0.000840286,0.000840286
43,7794.98,1.12234,0.82231,0.01836,0.87429,0.70052,0.81106,0.55564,1.13546,0.90824,0.02519,0.000812,0.000812,0.000812
44,7962.93,1.13078,0.82116,0.0187,0.8283,0.78646,0.82801,0.55053,1.16905,0.83438,0.0261,0.000783714,0.000783714,0.000783714
45,8130.3,1.08928,0.80829,0.01811,0.80925,0.78441,0.83329,0.56434,1.13768,0.83031,0.02483,0.000755429,0.000755429,0.000755429
46,8297.99,1.07856,0.80154,0.01747,0.82799,0.76466,0.81557,0.55312,1.18311,0.86,0.0267,0.000727143,0.000727143,0.000727143
47,8465.47,1.10438,0.79459,0.01804,0.82606,0.76042,0.80468,0.54656,1.14849,0.86816,0.02534,0.000698857,0.000698857,0.000698857
48,8633.6,1.09171,0.80303,0.0177,0.85208,0.74219,0.8026,0.54535,1.16472,0.88906,0.02553,0.000670571,0.000670571,0.000670571
49,8800.33,1.05801,0.7996,0.01694,0.81804,0.7727,0.80249,0.5395,1.14925,0.90077,0.02473,0.000642286,0.000642286,0.000642286
50,8968.45,1.08134,0.79448,0.01725,0.81337,0.77176,0.80968,0.55291,1.17575,0.86202,0.02575,0.000614,0.000614,0.000614
51,9136.15,1.05517,0.76492,0.01719,0.82264,0.76097,0.82136,0.56547,1.14046,0.84372,0.02502,0.000585714,0.000585714,0.000585714
52,9303.36,1.05519,0.77036,0.01706,0.82863,0.75552,0.80709,0.53538,1.17095,0.88305,0.02607,0.000557429,0.000557429,0.000557429
53,9470.59,1.05336,0.76112,0.01709,0.81927,0.77914,0.82483,0.56209,1.13469,0.87662,0.02435,0.000529143,0.000529143,0.000529143
54,9638.04,1.0494,0.75262,0.01698,0.84856,0.77335,0.82601,0.55802,1.11084,0.852,0.02359,0.000500857,0.000500857,0.000500857
55,9805.21,1.05494,0.75333,0.01644,0.82923,0.78404,0.83693,0.57069,1.14645,0.8288,0.02503,0.000472571,0.000472571,0.000472571
56,9972.83,1.03968,0.73245,0.01648,0.86053,0.77865,0.84624,0.57571,1.13453,0.8051,0.02462,0.000444286,0.000444286,0.000444286
57,10140.7,1.00859,0.73318,0.01621,0.87553,0.76933,0.83208,0.57033,1.12975,0.81447,0.02462,0.000416,0.000416,0.000416
